Group,Weight,Diet
Young,45.04864819,Control
Young,36.01400407,Control
Young,45.27498728,Control
Young,36.01140519,Control
Young,58.23138031,Control
Young,46.47175044,Control
Young,42.0184429,Control
Young,51.94301442,Control
Young,37.88427361,Control
Young,36.20221883,Control
Young,36.92495418,Control
Young,40.4919669,Control
Young,23.18668559,Control
Young,39.60178382,Control
Young,66.73576018,Control
Young,50.37978885,Control
Young,50.29201646,Control
Young,34.62962346,Control
Old,20.58417481,Control
Old,19.36576388,Control
Old,5.642958833,Control
Old,17.49080923,Control
Old,11.38104124,Control
Old,25.18909312,Control
Old,26.52423593,Control
Old,18.84955062,Control
Old,6.783080506,Control
Old,15.83838739,Control
Old,7.892405796,Control
Old,12.72162763,Control
Old,20.51229694,Control
Old,21.96490998,Control
Old,25.0133496,Control
Old,9.170223064,Control
Old,27.23297539,Control
Old,9.067408,Control
Young,58.56354886,Fat
Young,35.01245749,Fat
Young,34.30699133,Fat
Young,42.73779177,Fat
Young,36.95392336,Fat
Young,35.84771996,Fat
Young,32.88880772,Fat
Young,31.95080976,Fat
Young,46.54394382,Fat
Young,48.41466298,Fat
Young,32.90257418,Fat
Young,31.93876445,Fat
Young,36.54812185,Fat
Young,56.3581362,Fat
Young,56.94586983,Fat
Young,28.64300433,Fat
Young,66.98057059,Fat
Young,39.23913021,Fat
Old,32.50172835,Fat
Old,33.31604774,Fat
Old,25.78293496,Fat
Old,33.24849503,Fat
Old,12.60729462,Fat
Old,37.7483592,Fat
Old,27.21677511,Fat
Old,31.81535134,Fat
Old,29.54698262,Fat
Old,17.77768817,Fat
Old,42.45575835,Fat
Old,28.6563708,Fat
Old,25.35426452,Fat
Old,30.96317165,Fat
Old,26.07327108,Fat
Old,28.81319243,Fat
Old,39.28199991,Fat
Old,24.0108536,Fat
