sample,expression,batch,treatment,time,temperature
1,1.213962502,Batch1,A,time1,11.76574885
2,1.479658135,Batch1,A,time2,12.16330096
3,1.087828705,Batch1,A,time1,10.5419493
4,1.443858507,Batch1,A,time2,10.07642235
5,0.637162079,Batch1,A,time1,12.03721392
6,2.12267403,Batch1,B,time2,13.49572798
7,1.136154812,Batch1,B,time1,11.58641137
8,2.489624267,Batch1,B,time2,12.34333041
9,1.635883087,Batch1,B,time1,11.76398033
10,0.705757993,Batch1,B,time2,8.411037046
11,2.254230955,Batch1,C,time1,10.88766203
12,3.921550362,Batch1,C,time2,13.72407081
13,3.75005435,Batch2,C,time1,13.81814013
14,0.491445984,Batch2,C,time2,10.58194939
15,-0.040934095,Batch2,C,time1,10.28182587
16,4.000265801,Batch2,D,time2,14.13324443
17,3.605981006,Batch2,D,time1,11.92671669
18,2.254972339,Batch2,D,time2,11.97649276
19,4.498631451,Batch2,D,time1,12.94622046
20,4.270953789,Batch2,D,time2,12.89125453
21,12.19784304,Batch2,E,time1,20.84078645
22,5.752513462,Batch2,E,time2,14.83137628
23,9.881166625,Batch2,E,time1,19.01434889
24,4.655431206,Batch2,E,time2,16.31207559
25,10.44533659,Batch2,E,time1,20.29025687
