Subscription.Type,Monthly.Revenue,Days.Joined,Last.Payment.Date,Country,Age,Gender,Device,Plan.Duration
Basic,10,1954,10/6/2023,United States,28,Male,Smartphone,1 Month
Premium,15,1458,22-06-23,Canada,35,Female,Tablet,1 Month
Standard,12,1184,27-06-23,United Kingdom,42,Male,Smart TV,1 Month
Standard,12,1262,26-06-23,Australia,51,Female,Laptop,1 Month
Basic,10,1304,28-06-23,Germany,33,Male,Smartphone,1 Month
Premium,15,594,27-06-23,France,29,Female,Smart TV,1 Month
Standard,12,1027,25-06-23,Brazil,46,Male,Tablet,1 Month
Basic,10,1705,24-06-23,Mexico,39,Female,Laptop,1 Month
Standard,12,2063,23-06-23,Spain,37,Male,Smartphone,1 Month
Premium,15,599,22-06-23,Italy,44,Female,Smart TV,1 Month
Basic,10,145,22-06-23,United States,31,Female,Smartphone,1 Month
Premium,15,1219,28-06-23,Canada,45,Male,Tablet,1 Month
Standard,12,1258,27-06-23,United Kingdom,48,Female,Laptop,1 Month
Basic,10,766,26-06-23,Australia,27,Male,Smartphone,1 Month
Standard,12,1140,28-06-23,Germany,38,Female,Smart TV,1 Month
Premium,15,2004,27-06-23,France,36,Male,Tablet,1 Month
Basic,10,2034,25-06-23,Brazil,30,Female,Laptop,1 Month
Standard,12,2093,24-06-23,Mexico,43,Male,Smartphone,1 Month
Premium,15,119,23-06-23,Spain,32,Female,Smart TV,1 Month
Basic,10,1790,22-06-23,Italy,41,Male,Tablet,1 Month
Premium,15,768,22-06-23,United States,26,Female,Laptop,1 Month
Basic,10,227,28-06-23,Canada,34,Male,Smartphone,1 Month
Standard,12,1347,27-06-23,United Kingdom,49,Female,Smart TV,1 Month
Standard,12,1522,26-06-23,Australia,31,Male,Tablet,1 Month
Basic,10,1921,28-06-23,Germany,40,Female,Laptop,1 Month
Premium,15,1012,27-06-23,France,29,Male,Smartphone,1 Month
Basic,10,1337,25-06-23,Brazil,47,Female,Smart TV,1 Month
Standard,12,1083,24-06-23,Mexico,33,Male,Tablet,1 Month
Premium,15,162,23-06-23,Spain,36,Female,Laptop,1 Month
Basic,10,921,22-06-23,Italy,42,Male,Smartphone,1 Month
Premium,15,302,22-06-23,United States,28,Female,Smart TV,1 Month
Basic,10,1165,28-06-23,Canada,37,Male,Tablet,1 Month
Standard,12,995,27-06-23,United Kingdom,41,Female,Laptop,1 Month
